NO.,Voltage(NL3),Time(NL3)
328,3.40E+00,2.2000E-06
329,3.40E+00,2.2500E-06
330,3.40E+00,2.3000E-06
331,3.40E+00,2.3500E-06
332,3.40E+00,2.4000E-06
333,3.20E+00,2.4500E-06
334,3.20E+00,2.5000E-06
335,3.20E+00,2.5500E-06
336,3.20E+00,2.6000E-06
337,3.00E+00,2.6500E-06
338,2.80E+00,2.7000E-06
339,2.80E+00,2.7500E-06
340,2.80E+00,2.8000E-06
341,2.60E+00,2.8500E-06
342,2.60E+00,2.9000E-06
343,2.40E+00,2.9500E-06
344,2.40E+00,3.0000E-06
345,2.40E+00,3.0500E-06
346,2.20E+00,3.1000E-06
347,2.20E+00,3.1500E-06
348,2.20E+00,3.2000E-06
349,2.00E+00,3.2500E-06
350,1.80E+00,3.3000E-06
351,1.80E+00,3.3500E-06
352,1.60E+00,3.4000E-06
353,1.60E+00,3.4500E-06
354,1.40E+00,3.5000E-06
355,1.40E+00,3.5500E-06
356,1.40E+00,3.6000E-06
357,1.20E+00,3.6500E-06
358,1.00E+00,3.7000E-06
359,1.00E+00,3.7500E-06
360,1.00E+00,3.8000E-06
361,8.00E-01,3.8500E-06
362,6.00E-01,3.9000E-06
363,6.00E-01,3.9500E-06
364,4.00E-01,4.0000E-06
365,2.00E-01,4.0500E-06
366,2.00E-01,4.1000E-06
367,2.00E-01,4.1500E-06
368,0.00E+00,4.2000E-06
369,0.00E+00,4.2500E-06
370,-4.00E-01,4.3000E-06
371,-2.00E-01,4.3500E-06
372,-4.00E-01,4.4000E-06
373,-6.00E-01,4.4500E-06
374,-8.00E-01,4.5000E-06
375,-8.00E-01,4.5500E-06
376,-8.00E-01,4.6000E-06
377,-1.00E+00,4.6500E-06
378,-1.00E+00,4.7000E-06
379,-1.20E+00,4.7500E-06
380,-1.40E+00,4.8000E-06
381,-1.40E+00,4.8500E-06
382,-1.60E+00,4.9000E-06
383,-1.60E+00,4.9500E-06
384,-1.60E+00,5.0000E-06
385,-1.80E+00,5.0500E-06
386,-1.80E+00,5.1000E-06
387,-2.00E+00,5.1500E-06
388,-2.00E+00,5.2000E-06
389,-2.20E+00,5.2500E-06
390,-2.20E+00,5.3000E-06
391,-2.40E+00,5.3500E-06
392,-2.40E+00,5.4000E-06
393,-2.40E+00,5.4500E-06
394,-2.80E+00,5.5000E-06
395,-2.80E+00,5.5500E-06
396,-2.80E+00,5.6000E-06
397,-3.00E+00,5.6500E-06
398,-3.00E+00,5.7000E-06
399,-3.00E+00,5.7500E-06
400,-3.20E+00,5.8000E-06
401,-3.20E+00,5.8500E-06
402,-3.20E+00,5.9000E-06
403,-3.40E+00,5.9500E-06
404,-3.20E+00,6.0000E-06
